No.	Area_id	分列1	分列2	hex	JP_name	EN_name	CN_name
55	1-49	1	49	3101	シルフカンパニー　3Ｆ	Silph Co. 3F	西尔佛公司 3F
56	1-50	1	50	3201	シルフカンパニー　4Ｆ	Silph Co. 4F	西尔佛公司 4F
57	1-51	1	51	3301	シルフカンパニー　5Ｆ	Silph Co. 5F	西尔佛公司 5F
58	1-52	1	52	3401	シルフカンパニー　6Ｆ	Silph Co. 6F	西尔佛公司 6F
59	1-53	1	53	3501	シルフカンパニー　7Ｆ	Silph Co. 7F	西尔佛公司 7F
60	1-54	1	54	3601	シルフカンパニー　8Ｆ	Silph Co. 8F	西尔佛公司 8F
61	1-55	1	55	3701	シルフカンパニー　9Ｆ	Silph Co. 9F	西尔佛公司 9F
62	1-56	1	56	3801	シルフカンパニー　10Ｆ	Silph Co. 10F	西尔佛公司 10F
63	1-57	1	57	3901	シルフカンパニー　11Ｆ	Silph Co. 11F	西尔佛公司 11F
64	1-58	1	58	3A01	シルフカンパニー　エレベーター	Silph Co. Elevator	西尔佛公司 电梯
65	1-59	1	59	3B01	ポケモンやしき	Pokémon Mansion	精灵屋
66	1-60	1	60	3C01	ポケモンやしき	Pokémon Mansion	精灵屋
67	1-61	1	61	3D01	ポケモンやしき	Pokémon Mansion	精灵屋
68	1-62	1	62	3E01	ポケモンやしき	Pokémon Mansion	精灵屋
69	1-63	1	63	3F01	サファリゾーン	Safari Zone	狩猎地带
70	1-64	1	64	4001	サファリゾーン	Safari Zone	狩猎地带
71	1-65	1	65	4101	サファリゾーン	Safari Zone	狩猎地带
72	1-66	1	66	4201	サファリゾーン	Safari Zone	狩猎地带
73	1-67	1	67	4301	サファリゾーン	Safari Zone	狩猎地带
74	1-68	1	68	4401	サファリゾーン	Safari Zone	狩猎地带
75	1-69	1	69	4501	サファリゾーン	Safari Zone	狩猎地带
76	1-70	1	70	4601	サファリゾーン	Safari Zone	狩猎地带
77	1-71	1	71	4701	サファリゾーン	Safari Zone	狩猎地带
78	1-72	1	72	4801	ハナダのどうくつ	Cerulean Cave	华蓝洞窟
79	1-73	1	73	4901	ハナダのどうくつ	Cerulean Cave	华蓝洞窟
80	1-74	1	74	4A01	ハナダのどうくつ	Cerulean Cave	华蓝洞窟
81	1-75	1	75	4B01	ポケモンリーグ（こおり）	Pokémon League(ice)	精灵联盟（冰）
82	1-76	1	76	4C01	ポケモンリーグ	Pokémon League	精灵联盟
83	1-77	1	77	4D01	ポケモンリーグ	Pokémon League	精灵联盟
84	1-78	1	78	4E01	ポケモンリーグ	Pokémon League	精灵联盟
85	1-79	1	79	4F01	ポケモンリーグ	Pokémon League	精灵联盟
86	1-80	1	80	5001	ポケモンリーグ	Pokémon League	精灵联盟
87	1-81	1	81	5101	イワヤマトンネル	Rock Tunnel	岩山隧道
88	1-82	1	82	5201	イワヤマトンネル	Rock Tunnel	岩山隧道
89	1-83	1	83	5301	ふだごじま	Seafoam Islands	双子岛
90	1-84	1	84	5401	ふだごじま	Seafoam Islands	双子岛
91	1-85	1	85	5501	ふだごじま	Seafoam Islands	双子岛
92	1-86	1	86	5601	ふだごじま	Seafoam Islands	双子岛
93	1-87	1	87	5701	ふだごじま	Seafoam Islands	双子岛
94	1-88	1	88	5801	ポケモンタワー	Pokémon Tower	精灵塔
95	1-89	1	89	5901	ポケモンタワー	Pokémon Tower	精灵塔
96	1-90	1	90	5A01	ポケモンタワー	Pokémon Tower	精灵塔
97	1-91	1	91	5B01	ポケモンタワー	Pokémon Tower	精灵塔
98	1-92	1	92	5C01	ポケモンタワー	Pokémon Tower	精灵塔
99	1-93	1	93	5D01	ポケモンタワー	Pokémon Tower	精灵塔
100	1-94	1	94	5E01	ポケモンタワー	Pokémon Tower	精灵塔
101	1-95	1	95	5F01	むじんはつでんしょ	Power Plant	无人发电厂
102	1-96	1	96	6001	ともしびやま	Mt. Ember	灯火山
103	1-97	1	97	6101	ともしびやま	Mt. Ember	灯火山
104	1-98	1	98	6201	ともしびやま	Mt. Ember	灯火山
105	1-99	1	99	6301	ともしびやま	Mt. Ember	灯火山
106	1-100	1	100	6401	ともしびやま	Mt. Ember	灯火山
107	1-101	1	101	6501	ともしびやま	Mt. Ember	灯火山
108	1-102	1	102	6601	ともしびやま	Mt. Ember	灯火山
109	1-103	1	103	6701	ともしびやま	Mt. Ember	灯火山
110	1-104	1	104	6801	ともしびやま	Mt. Ember	灯火山
111	1-105	1	105	6901	ともしびやま	Mt. Ember	灯火山
112	1-106	1	106	6A01	ともしびやま	Mt. Ember	灯火山
113	1-107	1	107	6B01	ともしびやま	Mt. Ember	灯火山
114	1-108	1	108	6C01	ともしびやま	Mt. Ember	灯火山
115	1-109	1	109	6D01	きのみのもり	Berry Forest	树果森林
116	1-110	1	110	6E01	いてだきのどうくつ	Icefall Cave	冻瀑洞窟
117	1-111	1	111	6F01	いてだきのどうくつ	Icefall Cave	冻瀑洞窟
118	1-112	1	112	7001	いてだきのどうくつ	Icefall Cave	冻瀑洞窟
119	1-113	1	113	7101	いてだきのどうくつ	Icefall Cave	冻瀑洞窟
120	1-114	1	114	7201	ロケットだんそうこ	Rocket Warehouse	火箭队仓库
121	1-115	1	115	7301	てんのあな	Dotted Hole	点之穴
122	1-116	1	116	7401	てんのあな	Dotted Hole	点之穴
123	1-117	1	117	7501	てんのあな	Dotted Hole	点之穴
124	1-118	1	118	7601	てんのあな	Dotted Hole	点之穴
125	1-119	1	119	7701	てんのあな	Dotted Hole	点之穴
126	1-120	1	120	7801	てんのあな	Dotted Hole	点之穴
127	1-121	1	121	7901	しるしのはやし	Pattern Bush	标志之林
128	1-122	1	122	7A01	へんげのどうくつ	Altering Cave	变幻洞窟
129	2-0	2	0	0002	へそのいわ	Navel Rock	肚脐岩
130	2-1	2	1	0102	トレーナータワー	Trainer Tower	训练家之塔
131	2-2	2	2	0202	トレーナータワー	Trainer Tower	训练家之塔
132	2-3	2	3	0302	トレーナータワー	Trainer Tower	训练家之塔
133	2-4	2	4	0402	トレーナータワー	Trainer Tower	训练家之塔
134	2-5	2	5	0502	トレーナータワー	Trainer Tower	训练家之塔
135	2-6	2	6	0602	トレーナータワー	Trainer Tower	训练家之塔
136	2-7	2	7	0702	トレーナータワー	Trainer Tower	训练家之塔
137	2-8	2	8	0802	トレーナータワー	Trainer Tower	训练家之塔
138	2-9	2	9	0902	トレーナータワー	Trainer Tower	训练家之塔
139	2-10	2	10	0A02	トレーナータワー	Trainer Tower	训练家之塔
140	2-11	2	11	0B02	トレーナータワー　エレベーター	Trainer Tower Elevator	训练家之塔 电梯
141	2-12	2	12	0C02	かえらずのあな	Lost Cave	不归之穴
142	2-13	2	13	0D02	かえらずのあな	Lost Cave	不归之穴
143	2-14	2	14	0E02	かえらずのあな	Lost Cave	不归之穴
144	2-15	2	15	0F02	かえらずのあな	Lost Cave	不归之穴
145	2-16	2	16	1002	かえらずのあな	Lost Cave	不归之穴
146	2-17	2	17	1102	かえらずのあな	Lost Cave	不归之穴
147	2-18	2	18	1202	かえらずのあな	Lost Cave	不归之穴
148	2-19	2	19	1302	かえらずのあな	Lost Cave	不归之穴
149	2-20	2	20	1402	かえらずのあな	Lost Cave	不归之穴
150	2-21	2	21	1502	かえらずのあな	Lost Cave	不归之穴
151	2-22	2	22	1602	かえらずのあな	Lost Cave	不归之穴
152	2-23	2	23	1702	かえらずのあな	Lost Cave	不归之穴
153	2-24	2	24	1802	かえらずのあな	Lost Cave	不归之穴
154	2-25	2	25	1902	かえらずのあな	Lost Cave	不归之穴
155	2-26	2	26	1A02	かえらずのあな	Lost Cave	不归之穴
156	2-27	2	27	1B02	イレスのせきしつ	Monean Chamber	伊莱斯石室
157	2-28	2	28	1C02	ナザンのせきしつ	Liptoo Chamber	那藏石室
158	2-29	2	29	1D02	ユゴのせきしつ	Weepth Chamber	由格石室
159	2-30	2	30	1E02	アレボカのせきしつ	Dilford Chamber	阿利波卡石室
160	2-31	2	31	1F02	コトーのせきしつ	Scufib Chamber	科斗石室
161	2-32	2	32	2002	アヌザのせきしつ	Rixy Chamber	阿努泽石室
162	2-33	2	33	2102	オリフのせきしつ	Viapois Chamber	澳利弗石室
163	2-34	2	34	2202	3のしま　よこあな	Three Isle Path	第3岛隧道
164	2-35	2	35	2302	アスカナのかぎ	Tanoby Key	阿斯卡纳的钥匙
165	2-36	2	36	2402	へそのいわ	Navel Rock	肚脐岩
166	2-37	2	37	2502	へそのいわ 頂	Navel Rock Top	肚脐岩 顶
167	2-38	2	38	2602	へそのいわ	Navel Rock	肚脐岩
168	2-39	2	39	2702	へそのいわ	Navel Rock	肚脐岩
169	2-40	2	40	2802	へそのいわ	Navel Rock	肚脐岩
170	2-41	2	41	2902	へそのいわ	Navel Rock	肚脐岩
171	2-42	2	42	2A02	へそのいわ	Navel Rock	肚脐岩
172	2-43	2	43	2B02	へそのいわ	Navel Rock	肚脐岩
173	2-44	2	44	2C02	へそのいわ	Navel Rock	肚脐岩
174	2-45	2	45	2D02	へそのいわ	Navel Rock	肚脐岩
175	2-46	2	46	2E02	へそのいわ	Navel Rock	肚脐岩
176	2-47	2	47	2F02	へそのいわ	Navel Rock	肚脐岩
177	2-48	2	48	3002	へそのいわ	Navel Rock	肚脐岩
178	2-49	2	49	3102	へそのいわ	Navel Rock	肚脐岩
179	2-50	2	50	3202	へそのいわ	Navel Rock	肚脐岩
180	2-51	2	51	3302	へそのいわ	Navel Rock	肚脐岩
181	2-52	2	52	3402	へそのいわ	Navel Rock	肚脐岩
182	2-53	2	53	3502	へそのいわ	Navel Rock	肚脐岩
183	2-54	2	54	3602	へそのいわ	Navel Rock	肚脐岩
184	2-55	2	55	3702	へそのいわ	Navel Rock	肚脐岩
185	2-56	2	56	3802	たんじょうのしま	Birth Island	诞生之岛
186	2-57	2	57	3902	ともしびおんせん	Ember Spa	灯火温泉
187	2-58	2	58	3A02	たんじょうのしま　みなと	Birth Island Port	诞生之岛 码头
188	3-0	3	0	0003	マサラタウン	Pallet Town	真新镇
189	3-1	3	1	0103	トキワシティ	Viridian City	常青市
190	3-2	3	2	0203	ニビシティ	Pewter City	深灰市
191	3-3	3	3	0303	ハナダシティ	Cerulean City	华蓝市
192	3-4	3	4	0403	シオンタウン	Lavender Town	紫苑镇
193	3-5	3	5	0503	クチバシティ	Vermilion City	枯叶市
194	3-6	3	6	0603	タマムシシティ	Celadon City	玉虹市
195	3-7	3	7	0703	セキチクシティ	Fuchsia City	浅红市
196	3-8	3	8	0803	グレンじま	Cinnabar Island	红莲岛
197	3-9	3	9	0903	セキエイこうげん	Indigo Plateau	石英高原
198	3-10	3	10	0A03	ヤマブキシティ	Saffron City	金黄市
199	3-12	3	12	0C03	1のしま	Island 1	第1岛
200	3-13	3	13	0D03	2のしま	Island 2	第2岛
201	3-14	3	14	0E03	3のしま	Island 3	第3岛
202	3-15	3	15	0F03	4のしま	Island 4	第4岛
203	3-16	3	16	1003	5のしま	Island 5	第5岛
204	3-17	3	17	1103	7のしま	Island 7	第7岛
205	3-18	3	18	1203	6のしま	Island 6	第6岛
206	3-19	3	19	1303	1ばん　どうろ	Route 1	1号道路
207	3-20	3	20	1403	2ばん　どうろ	Route 2	2号道路
208	3-21	3	21	1503	3ばん　どうろ	Route 3	3号道路
209	3-22	3	22	1603	4ばん　どうろ	Route 4	4号道路
210	3-23	3	23	1703	5ばん　どうろ	Route 5	5号道路
211	3-24	3	24	1803	6ばん　どうろ	Route 6	6号道路
212	3-25	3	25	1903	7ばん　どうろ	Route 7	7号道路
213	3-26	3	26	1A03	8ばん　どうろ	Route 8	8号道路
214	3-27	3	27	1B03	9ばん　どうろ	Route 9	9号道路
215	3-28	3	28	1C03	10ばん　どうろ	Route 10	10号道路
216	3-29	3	29	1D03	11ばん　どうろ	Route 11	11号道路
217	3-30	3	30	1E03	12ばん　どうろ	Route 12	12号道路
218	3-31	3	31	1F03	13ばん　どうろ	Route 13	13号道路
219	3-32	3	32	2003	14ばん　どうろ	Route 14	14号道路
220	3-33	3	33	2103	15ばん　どうろ	Route 15	15号道路
221	3-34	3	34	2203	16ばん　どうろ	Route 16	16号道路
222	3-35	3	35	2303	17ばん　どうろ	Route 17	17号道路
223	3-36	3	36	2403	18ばん　どうろ	Route 18	18号道路
224	3-37	3	37	2503	19ばん　どうろ	Route 19	19号道路
225	3-38	3	38	2603	20ばん　どうろ	Route 20	20号道路
226	3-39	3	39	2703	21ばん　どうろ	Route 21	21号道路
227	3-41	3	41	2903	22ばん　どうろ	Route 22	22号道路
228	3-42	3	42	2A03	23ばん　どうろ	Route 23	23号道路
229	3-43	3	43	2B03	24ばん　どうろ	Route 24	24号道路
230	3-44	3	44	2C03	25ばん　どうろ	Route 25	25号道路
231	3-45	3	45	2D03	ほてりのみち	Kindle Road	热气之路
232	3-46	3	46	2E03	たからのはま	Treasure Beach	宝物海滩
233	3-47	3	47	2F03	きわのみさき	Cape Brink	边缘海岬
234	3-48	3	48	3003	きずなばし	Bond Bridge	索桥
235	3-49	3	49	3103	3のしま　みなと	Three Isle Port	第3岛码头
236	3-50	3	50	3203	6ばん　ななしま	Sevii Isle 6	6号 七之岛
237	3-51	3	51	3303	7ばん　ななしま	Sevii Isle 7	7号 七之岛
238	3-52	3	52	3403	8ばん　ななしま	Sevii Isle 8	8号 七之岛
239	3-53	3	53	3503	9ばん　ななしま	Sevii Isle 9	9号 七之岛
240	3-54	3	54	3603	ゴージャスリゾート	Resort Gorgeous	豪华度假区
241	3-55	3	55	3703	みずのめいろ	Water Labyrinth	水之迷宫
242	3-56	3	56	3803	5のしま　あきち	Five Isle Meadow	第5岛空地
243	3-57	3	57	3903	おもいでのとう	Memorial Pillar	回忆之塔
244	3-58	3	58	3A03	はずれのしま	Outcast Island	外岛
245	3-59	3	59	3B03	みどりのさんぽみち	Green Path	绿之步道
246	3-60	3	60	3C03	みずのさんぽみち	Water Path	水之步道
247	3-61	3	61	3D03	いせきのたに	Ruin Valley	遗迹山谷
248	3-63	3	63	3F03	けいこくいりぐち	Canyon Entrance	溪谷入口
249	3-64	3	64	4003	しっぽうけいこく	Sevault Canyon	七宝溪谷
250	3-65	3	65	4103	アスカナいせき	Tanoby Ruins	阿斯卡纳遗迹
251	4-0	4	0	0004	自分の家	Own Home	主角家
252	4-1	4	1	0104	自分の部屋	Own Room	主角房间
253	4-2	4	2	0204	相手の家	Rivals House	对手家
254	4-3	4	3	0304	オーキド研究所	Professor Oak's Laboratory	大木研究所
255	5-0	5	0	0005	トキワシティ　住民の家	Viridian House	常青市房子
256	5-1	5	1	0105	トキワジム	Viridian Gym	常青道馆
257	5-2	5	2	0205	トキワシティ学校	Viridian School	常青市学校
258	5-3	5	3	0305	トキワシティ　フレンドリィショップ	Viridian Poké Mart	常青市友好商店
259	5-4	5	4	0405	トキワシティ　ポケモンセンター	Viridian Pokécenter	常青市精灵中心
260	5-5	5	5	0505	トキワシティ　ポケモンセンター 2F	Viridian Pokécenter 2F	常青市精灵中心 2F
261	6-0	6	0	0006	ニビシティ　はくぶつかん 1F	ニビシティ Museum 1F	深灰市 博物馆 1F
262	6-1	6	1	0106	ニビシティ　はくぶつかん 2F	ニビシティ Museum 2F	深灰市 博物馆 2F
263	6-2	6	2	0206	ニビジム	Pewter Gym	深灰道馆
264	6-3	6	3	0306	トキワシティ　フレンドリィショップ	Pewter Poké Mart	深灰市友好商店
265	6-4	6	4	0406	ニビシティ　住民の家 1	Pewter House  1	深灰市房子 1
266	6-5	6	5	0506	ニビシティ　ポケモンセンター	Pewter Pokécenter	深灰市精灵中心
267	6-6	6	6	0606	ニビシティ　ポケモンセンター 2F	Pewter Pokécenter 2F	深灰市精灵中心 2F
268	6-7	6	7	0706	ニビシティ　住民の家 2	Pewter House  2	深灰市房子 2
269	7-0	7	0	0007	ハナダシティ　住民の家 1	Cerulean House 1	华蓝市房子 1
270	7-1	7	1	0107	ハナダシティ	The Invaded House	华蓝市入侵的房子
271	7-2	7	2	0207	ハナダシティ　侵入された家	Cerulean House 2	华蓝市房子 2
272	7-3	7	3	0307	ハナダシティ　ポケモンセンター	Cerulean Pokécenter	华蓝市精灵中心
273	7-4	7	4	0407	ハナダシティ　ポケモンセンター 2F	Cerulean Pokécenter 2F	华蓝市精灵中心 2F
274	7-5	7	5	0507	ハナダジム	Cerulean Gym	华蓝道馆
275	7-6	7	6	0607	ミラクル・サイクル	Miracle Cycle	奇迹自行车店
276	7-7	7	7	0707	ハナダシティ　フレンドリィショップ	Cerulean Poké Mart	华蓝市友好商店
277	7-8	7	8	0807	ハナダシティ　住民の家 2	Cerulean House 2	华蓝市房子 2
278	7-9	7	9	0907	ハナダシティ　住民の家 3	Cerulean House 3	华蓝市房子 3
279	8-0	8	0	0008	シオンタウン　ポケモンセンター	Lavender Pokécenter	紫苑镇精灵中心
280	8-1	8	1	0108	シオンタウン　ポケモンセンター 2F	Lavender Pokécenter 2F	紫苑镇精灵中心 2F
281	8-2	8	2	0208	シオンタウン　住民の家 1	Lavender House 1	紫苑镇房子 1
282	8-3	8	3	0308	シオンタウン　住民の家 2	Lavender House 2	紫苑镇房子 2
283	8-4	8	4	0408	シオンタウン　ニックネーム変えた家	Pokémon ReNickname House	紫苑镇精灵改名房子
284	8-5	8	5	0508	シオンタウン　フレンドリィショップ	Lavender Poké Mart	紫苑镇友好商店
285	9-0	9	0	0009	クチバシティ　住民の家 1	Vermilion House 1	枯叶市房子 1
286	9-1	9	1	0109	クチバシティ　ポケモンセンター	Vermilion Pokécenter	枯叶市精灵中心
287	9-2	9	2	0209	クチバシティ　ポケモンセンター 2F	Vermilion Pokécenter 2F	枯叶市精灵中心 2F
288	9-3	9	3	0309	ポケモン　だいすき　クラブ	Pokémon Lover's Club	精灵爱好者俱乐部
289	9-4	9	4	0409	クチバシティ　住民の家 2	Vermilion House 2	枯叶市房子 2
290	9-5	9	5	0509	クチバシティ　フレンドリィショップ	Vermilion Poké Mart	枯叶市友好商店
291	9-6	9	6	0609	クチバジム	Vermilion Gym	枯叶道馆
292	9-7	9	7	0709	クチバシティ　住民の家 3	Vermilion House 3	枯叶市房子 3
293	10-0	10	0	000A	タマムシデパート 1F	Celadon Department Store 1F	玉虹百货公司 1F
294	10-1	10	1	010A	タマムシデパート 2F	Celadon Department Store 2F	玉虹百货公司 2F
295	10-2	10	2	020A	タマムシデパート 3F	Celadon Department Store 3F	玉虹百货公司 3F
296	10-3	10	3	030A	タマムシデパート 4F	Celadon Department Store 4F	玉虹百货公司 4F
297	10-4	10	4	040A	タマムシデパート 5F	Celadon Department Store 5F	玉虹百货公司 5F
298	10-5	10	5	050A	タマムシデパート 6F	Celadon Department Store 6F	玉虹百货公司 6F
299	10-6	10	6	060A	タマムシデパート　エレベーター	Celadon Department Store Elevator	玉虹百货公司 电梯
300	10-7	10	7	070A	タマムシ　マンション 1F	Celadon Condominiums 1F	玉虹大厦 1F
301	10-8	10	8	080A	タマムシ　マンション 2F	Celadon Condominiums 2F	玉虹大厦 2F
302	10-9	10	9	090A	タマムシ　マンション 3F	Celadon Condominiums 3F	玉虹大厦 3F
303	10-10	10	10	0A0A	タマムシ　マンション 4F	Celadon Condominiums 4F	玉虹大厦 4F
304	10-11	10	11	0B0A	タマムシ　マンション 5F	Celadon Condominiums 5F	玉虹大厦 5F
305	10-12	10	12	0C0A	タマムシシティ　ポケモンセンター	Celedon Pokécenter	玉虹市精灵中心
306	10-13	10	13	0D0A	タマムシシティ　ポケモンセンター 2F	Celedon Pokécenter 2F	玉虹市精灵中心 2F
307	10-14	10	14	0E0A	ロケット　ゲーム　コーナー	Rocket Game Corner	火箭游戏城
308	10-15	10	15	0F0A	ロケット　ゲーム　コーナー　こうかんしつ	Rocket Game Corner Redemption Room	火箭游戏城兑奖室
309	10-16	10	16	100A	タマムシジム	Celadon Gym	玉虹道馆
310	10-17	10	17	110A	タマムシシティ　レストラン	Celedon Diner	玉虹市餐厅
311	10-18	10	18	120A	タマムシシティ　住民の家 1	Celedon House 1	玉虹市房子 1
312	10-19	10	19	130A	タマムシシティ　りょかん	Celedon Hotel	玉虹市旅馆
313	11-0	11	0	000B	サファリゾーン　ゲート	Safari Zone Gate	狩猎地带入口处
314	11-1	11	1	010B	セキチクシティ　フレンドリィショップ	Fuchsia Poké Mart	浅红市友好商店
315	11-2	11	2	020B	セキチクシティ 部屋	Fuchsia Room	浅红市房间
316	11-3	11	3	030B	セキチクジム	Fuchsia Gym	浅红道馆
317	11-4	11	4	040B	セキチクシティ　住民の家 1	Fuchsia House 1	浅红市房子 1
318	11-5	11	5	050B	セキチクシティ　ポケモンセンター	Fuchsia Pokécenter	浅红市精灵中心
319	11-6	11	6	060B	セキチクシティ　ポケモンセンター 2F	Fuchsia Pokécenter 2F	浅红市精灵中心 2F
320	11-7	11	7	070B	セキチクシティ　えんちょうの　いえ	Fuchsia Warden's Home	浅红市园长的家
321	11-8	11	8	080B	セキチクシティ　住民の家 2	Fuchsia House 2	浅红市房子 2
322	11-9	11	9	090B	セキチクシティ　住民の家 3	Fuchsia House 3	浅红市房子 3
323	12-0	12	0	000C	グレンジム	Cinnabar Gym	红莲道馆
324	12-1	12	1	010C	ポケモン　けんきゅうじょ	Pokémon Lab	宝可梦研究所
325	12-2	12	2	020C	ポケモン　けんきゅうじょ　へや 1	Pokémon Lab Room 1	宝可梦研究所 房间1
326	12-3	12	3	030C	ポケモン　けんきゅうじょ　へや 2	Pokémon Lab Room 2	宝可梦研究所 房间2
327	12-4	12	4	040C	ポケモン　けんきゅうじょ　へや 3	Pokémon Lab Room 3	宝可梦研究所 房间3
328	12-5	12	5	050C	グレンじま　ポケモンセンター	Cinnabar Pokécenter	红莲岛精灵中心
329	12-6	12	6	060C	グレンじま　ポケモンセンター 2F	Cinnabar Pokécenter 2F	红莲岛精灵中心 2F
330	12-7	12	7	070C	グレンじま　フレンドリィショップ	Cinnabar Poké Mart	红莲岛友好商店
331	13-0	13	0	000D	ポケモンリーグ	Pokémon League	宝可梦联盟
332	13-1	13	1	010D	ポケモンリーグ 2F	Pokémon League 2F	宝可梦联盟 2F
333	14-0	14	0	000E	ヤマブキシティ　住民の家 1	Saffron House 1	金黄市房子 1
334	14-1	14	1	010E	ヤマブキシティ　住民の家 1 2F	Saffron House 1 2F	金黄市房子 1 2F
335	14-2	14	2	020E	かくとう　どうじょう	Fighting Dojo	格斗道场
336	14-3	14	3	030E	ヤマブキジム	Saffron Gym	金黄道馆
337	14-4	14	4	040E	ヤマブキシティ　住民の家 2	Saffron House 2	金黄市房子 2
338	14-5	14	5	050E	ヤマブキシティ　フレンドリィショップ	Saffron Poké Mart	金黄市友好商店
339	14-6	14	6	060E	ヤマブキシティ　ポケモンセンター	Saffron Pokécenter	金黄市精灵中心
340	14-7	14	7	070E	ヤマブキシティ　ポケモンセンター 2F	Saffron Pokécenter 2F	金黄市精灵中心 2F
341	14-8	14	8	080E	ヤマブキシティ　住民の家 3	Saffron House 3	金黄市房子 3
342	14-9	14	9	090E	ヤマブキシティ　住民の家 4	Saffron House 4	金黄市房子 4
343	15-0	15	0	000F	2ばん　どうろ - トキワのもり　パス	Route 2 - Viridian Forest Path	2号道路 - 常青森林 过道
344	15-1	15	1	010F	2ばん　どうろ　住民の家	Route 2 House	2号道路房子
345	15-2	15	2	020F	2ばん　どうろ　右側パス	Route 2 Right Path	2号道路右侧过道
346	15-3	15	3	030F	トキワのもり - ニビシティ　パス	Viridian Forest - Pewter City Path	常青森林 - 深灰市 过道
347	16-0	16	0	0010	4ばん　どうろ　ポケモンセンター	Route 4 Pokécenter	2号道路精灵中心
348	16-1	16	1	0110	4ばん　どうろ　ポケモンセンター 2F	Route 4 Pokécenter 2F	2号道路精灵中心 2F
