No.	JP_name	EN_name	CN_name	HP	ATK	DEF	SPA	SPD	SPE	BST
39	プリン	Jigglypuff	胖丁	115	45	20	45	25	20	270
40	プクリン	Wigglytuff	胖可丁	140	70	45	75	50	45	425
41	ズバット	Zubat	超音蝠	40	45	35	30	40	55	245
42	ゴルバット	Golbat	大嘴蝠	75	80	70	65	75	90	455
43	ナゾノクサ	Oddish	走路草	45	50	55	75	65	30	320
44	クサイハナ	Gloom	臭臭花	60	65	70	85	75	40	395
45	ラフレシア	Vileplume	霸王花	75	80	85	100	90	50	480
46	パラス	Paras	派拉斯	35	70	55	45	55	25	285
47	パラセクト	Parasect	派拉斯特	60	95	80	60	80	30	405
48	コンパン	Venonat	毛球	60	55	50	40	55	45	305
49	モルフォン	Venomoth	摩鲁蛾	70	65	60	90	75	90	450
50	ディグダ	Diglett	地鼠	10	55	25	35	45	95	265
51	ダグトリオ	Dugtrio	三地鼠	35	80	50	50	70	120	405
52	ニャース	Meowth	喵喵	40	45	35	40	40	90	290
53	ペルシアン	Persian	猫老大	65	70	60	65	65	115	440
54	コダック	Psyduck	可达鸭	50	52	48	65	50	55	320
55	ゴルダック	Golduck	哥达鸭	80	82	78	95	80	85	500
56	マンキー	Mankey	猴怪	40	80	35	35	45	70	305
57	オコリザル	Primeape	火暴猴	65	105	60	60	70	95	455
58	ガーディ	Growlithe	卡蒂狗	55	70	45	70	50	60	350
59	ウインディ	Arcanine	风速狗	90	110	80	100	80	95	555
60	ニョロモ	Poliwag	蚊香蝌蚪	40	50	40	40	40	90	300
61	ニョロゾ	Poliwhirl	蚊香君	65	65	65	50	50	90	385
62	ニョロボン	Poliwrath	蚊香泳士	90	85	95	70	90	70	500
63	ケーシィ	Abra	凯西	25	20	15	105	55	90	310
64	ユンゲラー	Kadabra	勇基拉	40	35	30	120	70	105	400
65	フーディン	Alakazam	胡地	55	50	45	135	85	120	490
66	ワンリキー	Machop	腕力	70	80	50	35	35	35	305
67	ゴーリキー	Machoke	豪力	80	100	70	50	60	45	405
68	カイリキー	Machamp	怪力	90	130	80	65	85	55	505
69	マダツボミ	Bellsprout	喇叭芽	50	75	35	70	30	40	300
70	ウツドン	Weepinbell	口呆花	65	90	50	85	45	55	390
71	ウツボット	Victreebel	大食花	80	105	65	100	60	70	480
72	メノクラゲ	Tentacool	玛瑙水母	40	40	35	50	100	70	335
73	ドククラゲ	Tentacruel	毒刺水母	80	70	65	80	120	100	515
74	イシツブテ	Geodude	小拳石	40	80	100	30	30	20	300
75	ゴローン	Graveler	隆隆石	55	95	115	45	45	35	390
76	ゴローニャ	Golem	隆隆岩	80	110	130	55	65	45	485
77	ポニータ	Ponyta	小火马	50	85	55	65	65	90	410
78	ギャロップ	Rapidash	烈焰马	65	100	70	80	80	105	500
79	ヤドン	Slowpoke	呆呆兽	90	65	65	40	40	15	315
80	ヤドラン	Slowbro	呆壳兽	95	75	110	100	80	30	490
81	コイル	Magnemite	小磁怪	25	35	70	95	55	45	325
82	レアコイル	Magneton	三合一磁怪	50	60	95	120	70	70	465
83	カモネギ	Farfetch’d	大葱鸭	52	65	55	58	62	60	352
84	ドードー	Doduo	嘟嘟	35	85	45	35	35	75	310
85	ドードリオ	Dodrio	嘟嘟利	60	110	70	60	60	100	460
86	パウワウ	Seel	小海狮	65	45	55	45	70	45	325
87	ジュゴン	Dewgong	白海狮	90	70	80	70	95	70	475
88	ベトベター	Grimer	臭泥	80	80	50	40	50	25	325
89	ベトベトン	Muk	臭臭泥	105	105	75	65	100	50	500
90	シェルダー	Shellder	大舌贝	30	65	100	45	25	40	305
91	パルシェン	Cloyster	刺甲贝	50	95	180	85	45	70	525
92	ゴース	Gastly	鬼斯	30	35	30	100	35	80	310
93	ゴースト	Haunter	鬼斯通	45	50	45	115	55	95	405
94	ゲンガー	Gengar	耿鬼	60	65	60	130	75	110	500
95	イワーク	Onix	大岩蛇	35	45	160	30	45	70	385
96	スリープ	Drowzee	催眠貘	60	48	45	43	90	42	328
97	スリーパー	Hypno	引梦貘人	85	73	70	73	115	67	483
98	クラブ	Krabby	大钳蟹	30	105	90	25	25	50	325
99	キングラー	Kingler	巨钳蟹	55	130	115	50	50	75	475
100	ビリリダマ	Voltorb	霹雳电球	40	30	50	55	55	100	330
101	マルマイン	Electrode	顽皮雷弹	60	50	70	80	80	140	480
102	タマタマ	Exeggcute	蛋蛋	60	40	80	60	45	40	325
103	ナッシー	Exeggutor	椰蛋树	95	95	85	125	65	55	520
104	カラカラ	Cubone	卡拉卡拉	50	50	95	40	50	35	320
105	ガラガラ	Marowak	嘎啦嘎啦	60	80	110	50	80	45	425
106	サワムラー	Hitmonlee	飞腿郎	50	120	53	35	110	87	455
107	エビワラー	Hitmonchan	快拳郎	50	105	79	35	110	76	455
108	ベロリンガ	Lickitung	大舌头	90	55	75	60	75	30	385
109	ドガース	Koffing	瓦斯弹	40	65	95	60	45	35	340
110	マタドガス	Weezing	双弹瓦斯	65	90	120	85	70	60	490
111	サイホーン	Rhyhorn	独角犀牛	80	85	95	30	30	25	345
112	サイドン	Rhydon	钻角犀兽	105	130	120	45	45	40	485
113	ラッキー	Chansey	吉利蛋	250	5	5	35	105	50	450
114	モンジャラ	Tangela	蔓藤怪	65	55	115	100	40	60	435
115	ガルーラ	Kangaskhan	袋兽	105	95	80	40	80	90	490
116	タッツー	Horsea	墨海马	30	40	70	70	25	60	295
117	シードラ	Seadra	海刺龙	55	65	95	95	45	85	440
118	トサキント	Goldeen	角金鱼	45	67	60	35	50	63	320
119	アズマオウ	Seaking	金鱼王	80	92	65	65	80	68	450
120	ヒトデマン	Staryu	海星星	30	45	55	70	55	85	340
121	スターミー	Starmie	宝石海星	60	75	85	100	85	115	520
122	バリヤード	Mr. Mime	魔墙人偶	40	45	65	100	120	90	460
123	ストライク	Scyther	飞天螳螂	70	110	80	55	80	105	500
124	ルージュラ	Jynx	迷唇姐	65	50	35	115	95	95	455
125	エレブー	Electabuzz	电击兽	65	83	57	95	85	105	490
126	ブーバー	Magmar	鸭嘴火兽	65	95	57	100	85	93	495
127	カイロス	Pinsir	凯罗斯	65	125	100	55	70	85	500
128	ケンタロス	Tauros	肯泰罗	75	100	95	40	70	110	490
129	コイキング	Magikarp	鲤鱼王	20	10	55	15	20	80	200
130	ギャラドス	Gyarados	暴鲤龙	95	125	79	60	100	81	540
131	ラプラス	Lapras	拉普拉斯	130	85	80	85	95	60	535
132	メタモン	Ditto	百变怪	48	48	48	48	48	48	288
133	イーブイ	Eevee	伊布	55	55	50	45	65	55	325
134	シャワーズ	Vaporeon	水伊布	130	65	60	110	95	65	525
135	サンダース	Jolteon	雷伊布	65	65	60	110	95	130	525
136	ブースター	Flareon	火伊布	65	130	60	95	110	65	525
137	ポリゴン	Porygon	多边兽	65	60	70	85	75	40	395
138	オムナイト	Omanyte	菊石兽	35	40	100	90	55	35	355
139	オムスター	Omastar	多刺菊石兽	70	60	125	115	70	55	495
140	カブト	Kabuto	化石盔	30	80	90	55	45	55	355
141	カブトプス	Kabutops	镰刀盔	60	115	105	65	70	80	495
142	プテラ	Aerodactyl	化石翼龙	80	105	65	60	75	130	515
143	カビゴン	Snorlax	卡比兽	160	110	65	65	110	30	540
144	フリーザー	Articuno	急冻鸟	90	85	100	95	125	85	580
145	サンダー	Zapdos	闪电鸟	90	90	85	125	90	100	580
146	ファイヤー	Moltres	火焰鸟	90	100	90	125	85	90	580
147	ミニリュウ	Dratini	迷你龙	41	64	45	50	50	50	300
148	ハクリュー	Dragonair	哈克龙	61	84	65	70	70	70	420
149	カイリュー	Dragonite	快龙	91	134	95	100	100	80	600
150	ミュウツー	Mewtwo	超梦	106	110	90	154	90	130	680
151	ミュウ	Mew	梦幻	100	100	100	100	100	100	600
152	チコリータ	Chikorita	菊草叶	45	49	65	49	65	45	318
153	ベイリーフ	Bayleef	月桂叶	60	62	80	63	80	60	405
154	メガニウム	Meganium	大竺葵	80	82	100	83	100	80	525
155	ヒノアラシ	Cyndaquil	火球鼠	39	52	43	60	50	65	309
156	マグマラシ	Quilava	火岩鼠	58	64	58	80	65	80	405
157	バクフーン	Typhlosion	火暴兽	78	84	78	109	85	100	534
158	ワニノコ	Totodile	小锯鳄	50	65	64	44	48	43	314
159	アリゲイツ	Croconaw	蓝鳄	65	80	80	59	63	58	405
160	オーダイル	Feraligatr	大力鳄	85	105	100	79	83	78	530
161	オタチ	Sentret	尾立	35	46	34	35	45	20	215
162	オオタチ	Furret	大尾立	85	76	64	45	55	90	415
163	ホーホー	Hoothoot	咕咕	60	30	30	36	56	50	262
164	ヨルノズク	Noctowl	猫头夜鹰	100	50	50	76	96	70	442
165	レディバ	Ledyba	芭瓢虫	40	20	30	40	80	55	265
166	レディアン	Ledian	安瓢虫	55	35	50	55	110	85	390
167	イトマル	Spinarak	圆丝蛛	40	60	40	40	40	30	250
168	アリアドス	Ariados	阿利多斯	70	90	70	60	60	40	390
169	クロバット	Crobat	叉字蝠	85	90	80	70	80	130	535
170	チョンチー	Chinchou	灯笼鱼	75	38	38	56	56	67	330
171	ランターン	Lanturn	电灯怪	125	58	58	76	76	67	460
172	ピチュー	Pichu	皮丘	20	40	15	35	35	60	205
173	ピィ	Cleffa	皮宝宝	50	25	28	45	55	15	218
174	ププリン	Igglybuff	宝宝丁	90	30	15	40	20	15	210
175	トゲピー	Togepi	波克比	35	20	65	40	65	20	245
176	トゲチック	Togetic	波克基古	55	40	85	80	105	40	405
177	ネイティ	Natu	天然雀	40	50	45	70	45	70	320
178	ネイティオ	Xatu	天然鸟	65	75	70	95	70	95	470
179	メリープ	Mareep	咩利羊	55	40	40	65	45	35	280
180	モココ	Flaaffy	茸茸羊	70	55	55	80	60	45	365
181	デンリュウ	Ampharos	电龙	90	75	75	115	90	55	500
182	キレイハナ	Bellossom	美丽花	75	80	85	90	100	50	480
183	マリル	Marill	玛力露	70	20	50	20	50	40	250
184	マリルリ	Azumarill	玛力露丽	100	50	80	50	80	50	410
185	ウソッキー	Sudowoodo	树才怪	70	100	115	30	65	30	410
186	ニョロトノ	Politoed	蚊香蛙皇	90	75	75	90	100	70	500
187	ハネッコ	Hoppip	毽子草	35	35	40	35	55	50	250
188	ポポッコ	Skiploom	毽子花	55	45	50	45	65	80	340
189	ワタッコ	Jumpluff	毽子棉	75	55	70	55	85	110	450
190	エイパム	Aipom	长尾怪手	55	70	55	40	55	85	360
191	ヒマナッツ	Sunkern	向日种子	30	30	30	30	30	30	180
192	キマワリ	Sunflora	向日花怪	75	75	55	105	85	30	425
193	ヤンヤンマ	Yanma	蜻蜻蜓	65	65	45	75	45	95	390
194	ウパー	Wooper	乌波	55	45	45	25	25	15	210
195	ヌオー	Quagsire	沼王	95	85	85	65	65	35	430
196	エーフィ	Espeon	太阳伊布	65	65	60	130	95	110	525
197	ブラッキー	Umbreon	月亮伊布	95	65	110	60	130	65	525
198	ヤミカラス	Murkrow	黑暗鸦	60	85	42	85	42	91	405
199	ヤドキング	Slowking	呆呆王	95	75	80	100	110	30	490
200	ムウマ	Misdreavus	梦妖	60	60	60	85	85	85	435
201	アンノーン（Ａ）	Unown(A)	未知图腾（A）	48	72	48	72	48	48	336
202	ソーナンス	Wobbuffet	果然翁	190	33	58	33	58	33	405
203	キリンリキ	Girafarig	麒麟奇	70	80	65	90	65	85	455
204	クヌギダマ	Pineco	榛果球	50	65	90	35	35	15	290
205	フォレトス	Forretress	佛烈托斯	75	90	140	60	60	40	465
206	ノコッチ	Dunsparce	土龙弟弟	100	70	70	65	65	45	415
207	グライガー	Gligar	天蝎	65	75	105	35	65	85	430
208	ハガネール	Steelix	大钢蛇	75	85	200	55	65	30	510
209	ブルー	Snubbull	布鲁	60	80	50	40	40	30	300
210	グランブル	Granbull	布鲁皇	90	120	75	60	60	45	450
211	ハリーセン	Qwilfish	千针鱼	65	95	75	55	55	85	430
212	ハッサム	Scizor	巨钳螳螂	70	130	100	55	80	65	500
213	ツボツボ	Shuckle	壶壶	20	10	230	10	230	5	505
214	ヘラクロス	Heracross	赫拉克罗斯	80	125	75	40	95	85	500
215	ニューラ	Sneasel	狃拉	55	95	55	35	75	115	430
216	ヒメグマ	Teddiursa	熊宝宝	60	80	50	50	50	40	330
217	リングマ	Ursaring	圈圈熊	90	130	75	75	75	55	500
218	マグマッグ	Slugma	熔岩虫	40	40	40	70	40	20	250
219	マグカルゴ	Magcargo	熔岩蜗牛	50	50	120	80	80	30	410
220	ウリムー	Swinub	小山猪	50	50	40	30	30	50	250
221	イノムー	Piloswine	长毛猪	100	100	80	60	60	50	450
222	サニーゴ	Corsola	太阳珊瑚	55	55	85	65	85	35	380
223	テッポウオ	Remoraid	铁炮鱼	35	65	35	65	35	65	300
224	オクタン	Octillery	章鱼桶	75	105	75	105	75	45	480
225	デリバード	Delibird	信使鸟	45	55	45	65	45	75	330
226	マンタイン	Mantine	巨翅飞鱼	65	40	70	80	140	70	465
227	エアームド	Skarmory	盔甲鸟	65	80	140	40	70	70	465
228	デルビル	Houndour	戴鲁比	45	60	30	80	50	65	330
229	ヘルガー	Houndoom	黑鲁加	75	90	50	110	80	95	500
230	キングドラ	Kingdra	刺龙王	75	95	95	95	95	85	540
231	ゴマゾウ	Phanpy	小小象	90	60	60	40	40	40	330
232	ドンファン	Donphan	顿甲	90	120	120	60	60	50	500
233	ポリゴン２	Porygon2	多边兽２型	85	80	90	105	95	60	515
234	オドシシ	Stantler	惊角鹿	73	95	62	85	65	85	465
235	ドーブル	Smeargle	图图犬	55	20	35	20	45	75	250
236	バルキー	Tyrogue	无畏小子	35	35	35	35	35	35	210
237	カポエラー	Hitmontop	战舞郎	50	95	95	35	110	70	455
238	ムチュール	Smoochum	迷唇娃	45	30	15	85	65	65	305
239	エレキッド	Elekid	电击怪	45	63	37	65	55	95	360
240	ブビィ	Magby	鸭嘴宝宝	45	75	37	70	55	83	365
241	ミルタンク	Miltank	大奶罐	95	80	105	40	70	100	490
242	ハピナス	Blissey	幸福蛋	255	10	10	75	135	55	540
243	ライコウ	Raikou	雷公	90	85	75	115	100	115	580
244	エンテイ	Entei	炎帝	115	115	85	90	75	100	580
245	スイクン	Suicune	水君	100	75	115	90	115	85	580
246	ヨーギラス	Larvitar	幼基拉斯	50	64	50	45	50	41	300
247	サナギラス	Pupitar	沙基拉斯	70	84	70	65	70	51	410
248	バンギラス	Tyranitar	班基拉斯	100	134	110	95	100	61	600
249	ルギア	Lugia	洛奇亚	106	90	130	90	154	110	680
250	ホウオウ	Ho-Oh	凤王	106	130	90	110	154	90	680
251	セレビィ	Celebi	时拉比	100	100	100	100	100	100	600
252	N/A	N/A	N/A	-	-	-	-	-	-	-
253	N/A	N/A	N/A	-	-	-	-	-	-	-
254	N/A	N/A	N/A	-	-	-	-	-	-	-
255	N/A	N/A	N/A	-	-	-	-	-	-	-
256	N/A	N/A	N/A	-	-	-	-	-	-	-
257	N/A	N/A	N/A	-	-	-	-	-	-	-
258	N/A	N/A	N/A	-	-	-	-	-	-	-
259	N/A	N/A	N/A	-	-	-	-	-	-	-
260	N/A	N/A	N/A	-	-	-	-	-	-	-
261	N/A	N/A	N/A	-	-	-	-	-	-	-
262	N/A	N/A	N/A	-	-	-	-	-	-	-
263	N/A	N/A	N/A	-	-	-	-	-	-	-
264	N/A	N/A	N/A	-	-	-	-	-	-	-
265	N/A	N/A	N/A	-	-	-	-	-	-	-
266	N/A	N/A	N/A	-	-	-	-	-	-	-
267	N/A	N/A	N/A	-	-	-	-	-	-	-
268	N/A	N/A	N/A	-	-	-	-	-	-	-
269	N/A	N/A	N/A	-	-	-	-	-	-	-
270	N/A	N/A	N/A	-	-	-	-	-	-	-
271	N/A	N/A	N/A	-	-	-	-	-	-	-
272	N/A	N/A	N/A	-	-	-	-	-	-	-
273	N/A	N/A	N/A	-	-	-	-	-	-	-
274	N/A	N/A	N/A	-	-	-	-	-	-	-
275	N/A	N/A	N/A	-	-	-	-	-	-	-
276	N/A	N/A	N/A	-	-	-	-	-	-	-
277	キモリ	Treecko	木守宫	40	45	35	65	55	70	310
278	ジュプトル	Grovyle	森林蜥蜴	50	65	45	85	65	95	405
279	ジュカイン	Sceptile	蜥蜴王	70	85	65	105	85	120	530
280	アチャモ	Torchic	火稚鸡	45	60	40	70	50	45	310
281	ワカシャモ	Combusken	力壮鸡	60	85	60	85	60	55	405
282	バシャーモ	Blaziken	火焰鸡	80	120	70	110	70	80	530
283	ミズゴロウ	Mudkip	水跃鱼	50	70	50	50	50	40	310
284	ヌマクロー	Marshtomp	沼跃鱼	70	85	70	60	70	50	405
285	ラグラージ	Swampert	巨沼怪	100	110	90	85	90	60	535
286	ポチエナ	Poochyena	土狼犬	35	55	35	30	30	35	220
287	グラエナ	Mightyena	大狼犬	70	90	70	60	60	70	420
288	ジグザグマ	Zigzagoon	蛇纹熊	38	30	41	30	41	60	240
289	マッスグマ	Linoone	直冲熊	78	70	61	50	61	100	420
290	ケムッソ	Wurmple	刺尾虫	45	45	35	20	30	20	195
291	カラサリス	Silcoon	甲壳茧	50	35	55	25	25	15	205
292	アゲハント	Beautifly	狩猎凤蝶	60	70	50	90	50	65	385
293	マユルド	Cascoon	盾甲茧	50	35	55	25	25	15	205
294	ドクケイル	Dustox	毒粉蛾	60	50	70	50	90	65	385
295	ハスボー	Lotad	莲叶童子	40	30	30	40	50	30	220
296	ハスブレロ	Lombre	莲帽小童	60	50	50	60	70	50	340
297	ルンパッパ	Ludicolo	乐天河童	80	70	70	90	100	70	480
298	タネボー	Seedot	橡实果	40	40	50	30	30	30	220
299	コノハナ	Nuzleaf	长鼻叶	70	70	40	60	40	60	340
300	ダーテング	Shiftry	狡猾天狗	90	100	60	90	60	80	480
301	ツチニン	Nincada	土居忍士	31	45	90	30	30	40	266
302	テッカニン	Ninjask	铁面忍者	61	90	45	50	50	160	456
303	ヌケニン	Shedinja	脱壳忍者	1	90	45	30	30	40	236
304	スバメ	Taillow	傲骨燕	40	55	30	30	30	85	270
305	オオスバメ	Swellow	大王燕	60	85	60	50	50	125	430
306	キノココ	Shroomish	蘑蘑菇	60	40	60	40	60	35	295
307	キノガッサ	Breloom	斗笠菇	60	130	80	60	60	70	460
308	パッチール	Spinda	晃晃斑	60	60	60	60	60	60	360
309	キャモメ	Wingull	长翅鸥	40	30	30	55	30	85	270
310	ペリッパー	Pelipper	大嘴鸥	60	50	100	85	70	65	430
311	アメタマ	Surskit	溜溜糖球	40	30	32	50	52	65	269
312	アメモース	Masquerain	雨翅蛾	70	60	62	80	82	60	414
313	ホエルコ	Wailmer	吼吼鲸	130	70	35	70	35	60	400
314	ホエルオー	Wailord	吼鲸王	170	90	45	90	45	60	500
315	エネコ	Skitty	向尾喵	50	45	45	35	35	50	260
316	エネコロロ	Delcatty	优雅猫	70	65	65	55	55	70	380
317	カクレオン	Kecleon	变隐龙	60	90	70	60	120	40	440
318	ヤジロン	Baltoy	天秤偶	40	40	55	40	70	55	300
319	ネンドール	Claydol	念力土偶	60	70	105	70	120	75	500
320	ノズパス	Nosepass	朝北鼻	30	45	135	45	90	30	375
321	コータス	Torkoal	煤炭龟	70	85	140	85	70	20	470
322	ヤミラミ	Sableye	勾魂眼	50	75	75	65	65	50	380
323	ドジョッチ	Barboach	泥泥鳅	50	48	43	46	41	60	288
324	ナマズン	Whiscash	鲶鱼王	110	78	73	76	71	60	468
325	ラブカス	Luvdisc	爱心鱼	43	30	55	40	65	97	330
326	ヘイガニ	Corphish	龙虾小兵	43	80	65	50	35	35	308
327	シザリガー	Crawdaunt	铁螯龙虾	63	120	85	90	55	55	468
328	ヒンバス	Feebas	丑丑鱼	20	15	20	10	55	80	200
329	ミロカロス	Milotic	美纳斯	95	60	79	100	125	81	540
330	キバニア	Carvanha	利牙鱼	45	90	20	65	20	65	305
331	サメハダー	Sharpedo	巨牙鲨	70	120	40	95	40	95	460
332	ナックラー	Trapinch	大颚蚁	45	100	45	45	45	10	290
333	ビブラーバ	Vibrava	超音波幼虫	50	70	50	50	50	70	340
334	フライゴン	Flygon	沙漠蜻蜓	80	100	80	80	80	100	520
335	マクノシタ	Makuhita	幕下力士	72	60	30	20	30	25	237
336	ハリテヤマ	Hariyama	铁掌力士	144	120	60	40	60	50	474
337	ラクライ	Electrike	落雷兽	40	45	40	65	40	65	295
338	ライボルト	Manectric	雷电兽	70	75	60	105	60	105	475
339	ドンメル	Numel	呆火驼	60	60	40	65	45	35	305
340	バクーダ	Camerupt	喷火驼	70	100	70	105	75	40	460
341	タマザラシ	Spheal	海豹球	70	40	50	55	50	25	290
342	トドグラー	Sealeo	海魔狮	90	60	70	75	70	45	410
343	トドゼルガ	Walrein	帝牙海狮	110	80	90	95	90	65	530
344	サボネア	Cacnea	刺球仙人掌	50	85	40	85	40	35	335
345	ノクタス	Cacturne	梦歌仙人掌	70	115	60	115	60	55	475
346	ユキワラシ	Snorunt	雪童子	50	50	50	50	50	50	300
347	オニゴーリ	Glalie	冰鬼护	80	80	80	80	80	80	480
348	ルナトーン	Lunatone	月石	70	55	65	95	85	70	440
349	ソルロック	Solrock	太阳岩	70	95	85	55	65	70	440
350	ルリリ	Azurill	露力丽	50	20	40	20	40	20	190
351	バネブー	Spoink	跳跳猪	60	25	35	70	80	60	330
352	ブーピッグ	Grumpig	噗噗猪	80	45	65	90	110	80	470
353	プラスル	Plusle	正电拍拍	60	50	40	85	75	95	405
354	マイナン	Minun	负电拍拍	60	40	50	75	85	95	405
355	クチート	Mawile	大嘴娃	50	85	85	55	55	50	380
356	アサナン	Meditite	玛沙那	30	40	55	40	55	60	280
357	チャーレム	Medicham	恰雷姆	60	60	75	60	75	80	410
358	チルット	Swablu	青绵鸟	45	40	60	40	75	50	310
359	チルタリス	Altaria	七夕青鸟	75	70	90	70	105	80	490
360	ソーナノ	Wynaut	小果然	95	23	48	23	48	23	260
361	ヨマワル	Duskull	夜巡灵	20	40	90	30	90	25	295
362	サマヨール	Dusclops	彷徨夜灵	40	70	130	60	130	25	455
363	ロゼリア	Roselia	毒蔷薇	50	60	45	100	80	65	400
364	ナマケロ	Slakoth	懒人獭	60	60	60	35	35	30	280
365	ヤルキモノ	Vigoroth	过动猿	80	80	80	55	55	90	440
366	ケッキング	Slaking	请假王	150	160	100	95	65	100	670
367	ゴクリン	Gulpin	溶食兽	70	43	53	43	53	40	302
368	マルノーム	Swalot	吞食兽	100	73	83	73	83	55	467
369	トロピウス	Tropius	热带龙	99	68	83	72	87	51	460
370	ゴニョニョ	Whismur	咕妞妞	64	51	23	51	23	28	240
371	ドゴーム	Loudred	吼爆弹	84	71	43	71	43	48	360
372	バクオング	Exploud	爆音怪	104	91	63	91	63	68	480
373	パールル	Clamperl	珍珠贝	35	64	85	74	55	32	345
374	ハンテール	Huntail	猎斑鱼	55	104	105	94	75	52	485
375	サクラビス	Gorebyss	樱花鱼	55	84	105	114	75	52	485
376	アブソル	Absol	阿勃梭鲁	65	130	60	75	60	75	465
377	カゲボウズ	Shuppet	怨影娃娃	44	75	35	63	33	45	295
378	ジュペッタ	Banette	诅咒娃娃	64	115	65	83	63	65	455
379	ハブネーク	Seviper	饭匙蛇	73	100	60	100	60	65	458
380	ザングース	Zangoose	猫鼬斩	73	115	60	60	60	90	458
381	ジーランス	Relicanth	古空棘鱼	100	90	130	45	65	55	485
382	ココドラ	Aron	可可多拉	50	70	100	40	40	30	330
383	コドラ	Lairon	可多拉	60	90	140	50	50	40	430
384	ボスゴドラ	Aggron	波士可多拉	70	110	180	60	60	50	530
385	ポワルン	Castform	飘浮泡泡	70	70	70	70	70	70	420
386	バルビート	Volbeat	电萤虫	65	73	55	47	75	85	400
387	イルミーゼ	Illumise	甜甜萤	65	47	55	73	75	85	400
388	リリーラ	Lileep	触手百合	66	41	77	61	87	23	355
389	ユレイドル	Cradily	摇篮百合	86	81	97	81	107	43	495
390	アノプス	Anorith	太古羽虫	45	95	50	40	50	75	355
391	アーマルド	Armaldo	太古盔甲	75	125	100	70	80	45	495
392	ラルトス	Ralts	拉鲁拉丝	28	25	25	45	35	40	198
393	キルリア	Kirlia	奇鲁莉安	38	35	35	65	55	50	278
394	サーナイト	Gardevoir	沙奈朵	68	65	65	125	115	80	518
395	タツベイ	Bagon	宝贝龙	45	75	60	40	30	50	300
396	コモルー	Shelgon	甲壳龙	65	95	100	60	50	50	420
397	ボーマンダ	Salamence	暴飞龙	95	135	80	110	80	100	600
398	ダンバル	Beldum	铁哑铃	40	55	80	35	60	30	300
399	メタング	Metang	金属怪	60	75	100	55	80	50	420
400	メタグロス	Metagross	巨金怪	80	135	130	95	90	70	600
401	レジロック	Regirock	雷吉洛克	80	100	200	50	100	50	580
402	レジアイス	Regice	雷吉艾斯	80	50	100	100	200	50	580
403	レジスチル	Registeel	雷吉斯奇鲁	80	75	150	75	150	50	580
404	カイオーガ	Kyogre	盖欧卡	100	100	90	150	140	90	670
405	グラードン	Groudon	固拉多	100	150	140	100	90	90	670
406	レックウザ	Rayquaza	烈空坐	105	150	90	150	90	95	680
407	ラティアス	Latias	拉帝亚斯	80	80	90	110	130	110	600
