No.	jp_Char_map	HEX	en_Char_map	HEX
196	J	C4	J	C4
197	K	C5	K	C5
198	L	C6	L	C6
199	M	C7	M	C7
200	N	C8	N	C8
201	O	C9	O	C9
202	P	CA	P	CA
203	Q	CB	Q	CB
204	R	CC	R	CC
205	S	CD	S	CD
206	T	CE	T	CE
207	U	CF	U	CF
208	V	D0	V	D0
209	W	D1	W	D1
210	X	D2	X	D2
211	Y	D3	Y	D3
212	Z	D4	Z	D4
213	a	D5	a	D5
214	b	D6	b	D6
215	c	D7	c	D7
216	d	D8	d	D8
217	e	D9	e	D9
218	f	DA	f	DA
219	g	DB	g	DB
220	h	DC	h	DC
221	i	DD	i	DD
222	j	DE	j	DE
223	k	DF	k	DF
224	l	E0	l	E0
225	m	E1	m	E1
226	n	E2	n	E2
227	o	E3	o	E3
228	p	E4	p	E4
229	q	E5	q	E5
230	r	E6	r	E6
231	s	E7	s	E7
232	t	E8	t	E8
233	u	E9	u	E9
234	v	EA	v	EA
235	w	EB	w	EB
236	x	EC	x	EC
237	y	ED	y	ED
238	z	EE	z	EE
239	▶	EF	▶	EF
240	:	F0	:	F0
241	Ä	F1	Ä	F1
242	Ö	F2	Ö	F2
243	Ü	F3	Ü	F3
244	ä	F4	ä	F4
245	ö	F5	ö	F5
246	ü	F6	ü	F6
247		F7		F7
248		F8		F8
249		F9		F9
250		FA		FA
251		FB		FB
252		FC		FC
253		FD		FD
254		FE		FE
255		FF		FF
